section;g_kg_per_m;h_mm;b_mm;t_w_mm;t_f_mm;r_mm;r_2_mm;d_mm;A_cm2;A_L_m;A_G_m2_per_t;I_y_cm4;W_el_y_cm3;W_pl_y_cm3;i_y_cm;A_vz_cm2;I_z_cm4 ;W_el_z_cm3;W_pl_z_cm3; i_z_cm;s_s_cm;I_t_cm4;I_w_1E3_cm6
IPN 80;5.9;80.0;42.0;3.9;5.9;3.9;2.3;59.0;7.6;0.304;51.09;77.80;19.50;22.80;3.2;3.410;6.290;3.000;5.000;0.9;2.2;0.870;0.09
IPN 100;8.3;100.0;50.0;4.5;6.8;4.5;2.7;75.7;10.6;0.370;44.47;171.0;34.20;39.80;4.0;4.850;12.20;4.880;8.100;1.1;2.5;1.600;0.27
IPN 120;11.1;120.0;58.0;5.1;7.7;5.1;3.1;92.4;14.2;0.439;39.38;328.0;54.70;63.60;4.8;6.630;21.50;7.410;12.40;1.2;2.8;2.710;0.69
IPN 140;14.3;140.0;66.0;5.7;8.6;5.7;3.4;109.1;18.2;0.502;34.94;573.0;81.90;95.40;5.6;8.650;35.20;10.70;17.90;1.4;3.2;4.320;1.54
IPN 160;17.9;160.0;74.0;6.3;9.5;6.3;3.8;125.8;22.8;0.575;32.13;935.0;117.0;136.0;6.4;10.83;54.70;14.80;24.90;1.6;3.5;6.570;3.14
IPN 180;21.9;180.0;82.0;6.9;10.4;6.9;4.1;142.4;27.9;0.640;29.22;1450;161.0;187.0;7.2;13.35;81.30;19.80;33.20;1.7;3.9;9.580;5.92
IPN 200;26.2;200.0;90.0;7.5;11.3;7.5;4.5;159.1;33.4;0.709;27.04;2140;214.0;250.0;8.0;16.03;117.0;26.00;43.50;1.9;4.2;13.50;10.50
IPN 220;31.1;220.0;98.0;8.1;12.2;8.1;4.9;175.8;39.5;0.775;24.99;3060;278.0;324.0;8.8;19.06;162.0;33.10;55.70;2.0;4.5;18.60;17.80
IPN 240;36.2;240.0;106.0;8.7;13.1;8.7;5.2;192.5;46.1;0.844;23.32;4250;354.0;412.0;9.6;22.33;221.0;41.70;70.00;2.2;4.9;25.00;28.70
IPN 260;41.9;260.0;113.0;9.4;14.1;9.4;5.6;208.9;53.3;0.906;21.65;5740;442.0;514.0;10.4;26.08;288.0;51.00;85.90;2.3;5.3;33.50;44.10
IPN 280;47.9;280.0;119.0;10.1;15.2;10.1;6.1;225.1;61.0;0.966;20.17;7590;542.0;632.0;11.1;30.18;364.0;61.20;103.0;2.5;5.6;44.20;64.60
IPN 300;54.2;300.0;125.0;10.8;16.2;10.8;6.5;241.6;69.0;1.030;19.02;9800;653.0;762.0;11.9;34.58;451.0;72.20;121.0;2.6;6.0;56.80;91.80
IPN 320;61.0;320.0;131.0;11.5;17.3;11.5;6.9;257.9;77.7;1.090;17.87;12510;782.0;914.0;12.7;39.26;555.0;84.70;143.0;2.7;6.4;72.50;129.0
IPN 340;68.0;340.0;137.0;12.2;18.3;12.2;7.3;274.3;86.7;1.150;16.90;15700;923.0;1080;13.5;44.27;674.0;98.40;166.0;2.8;6.8;90.40;176.0
IPN 360;76.1;360.0;143.0;13.0;19.5;13.0;7.8;290.2;97.0;1.210;15.89;19610;1090;1276;14.2;49.95;818.0;114.0;194.0;2.9;7.2;115.0;240.0
IPN 380;84.0;380.0;149.0;13.7;20.5;13.7;8.2;306.7;107.0;1.270;15.12;24010;1260;1482;15.0;55.55;975.0;131.0;221.0;3.0;7.5;141.0;319.0
IPN 400;92.4;400.0;155.0;14.4;21.6;14.4;8.6;322.9;117.7;1.330;14.36;29210;1460;1714;15.7;61.69;1160;149.0;253.0;3.1;7.9;170.0;420.0
IPN 450;115;450.0;170.0;16.2;24.3;16.2;9.7;363.6;146.9;1.480;12.83;45850;2040;2400;17.7;77.79;1730;203.0;345.0;3.4;8.9;267.0;791.0
IPN 500;141;500.0;185.0;18.0;27.0;18.0;10.8;404.3;179.4;1.630;11.60;68740;2750;3240;19.6;95.60;2480;268.0;456.0;3.7;9.9;402.0;1400
IPN 550;166;550.0;200.0;19.0;30.0;19.0;11.9;445.6;212.0;1.800;10.80;99180;3610;4240;21.6;111.3;3490;349.0;592.0;4.0;10.7;544.0;2390
IPN 600;199;600.0;215.0;21.6;32.4;21.6;13.0;485.8;253.7;1.920;9.890;139000;4630;5452;23.4;138.0;4670;434.0;752.0;4.3;11.8;787.0;3814
